card,group,scene,policy,upgraded,mode,control,n,before_valid,after_valid,before_dwin_pp,after_dwin_pp,after_ci95_lo_pp,after_ci95_hi_pp,before_dhp,after_dhp,before_dturns,after_dturns,before_plays,after_plays,before_ready_plays,after_ready_plays,after_seen_turns,after_playable_turns,after_empty_plays,after_unused_qi,before_aborts,after_aborts,final_source
wanren,primary,strength,tactical,1,add1,skip,300,True,True,0,0,-1.647,1.647,-0.29667,0.27,-0.25,-0.44,317,369,0,0,426,422,0,3,0,0,after-wanren
wanren,primary,strength,tactical,1,add2,skip,300,True,True,0,0,-1.647,1.647,-1.41,1.41333,-0.38667,-0.74,532,575,0,0,754,748,0,3,0,0,after-wanren
wanren,primary,strength,tactical,1,replace,shuiyanqijun,300,True,True,0,0,-1.647,1.647,-0.88,-0.31333,0.22333,0.03333,317,369,0,0,426,422,0,3,0,0,after-wanren
wanren,primary,act3-4qi,greedy,0,add1,skip,300,True,True,0,1.0,-4.7117,6.6787,-1.97333,-1.56,-0.09,-0.16333,399,397,0,0,469,406,0,11,0,0,after-wanren
wanren,primary,act3-4qi,greedy,0,add2,skip,300,True,True,-2.6667,0,-5.7872,5.7872,-4.38,-3.09667,-0.19,-0.39,657,638,0,0,783,660,0,23,0,0,after-wanren
wanren,primary,act3-4qi,greedy,0,replace,shuiyanqijun,300,True,True,-0.3333,1.0,-1.3506,3.3177,-0.98,-0.38,0.09667,0.00333,399,397,0,0,469,406,0,11,0,0,after-wanren
wanren,primary,act3-4qi,greedy,1,add1,skip,300,True,True,1.3333,1.6667,-3.8667,7.1451,-1.23,-0.58,-0.18333,-0.30333,398,397,0,0,463,399,0,12,0,0,after-wanren
wanren,primary,act3-4qi,greedy,1,add2,skip,300,True,True,-0.6667,2.3333,-3.0033,7.5931,-3.19,-2.05333,-0.38,-0.58,642,634,0,0,769,648,0,18,0,0,after-wanren
wanren,primary,act3-4qi,greedy,1,replace,shuiyanqijun,300,True,True,1.0,1.3333,-1.1882,3.811,-0.81,0.13333,0.16,0.00333,398,397,0,0,463,399,0,12,0,0,after-wanren
wanren,primary,act3-4qi,tactical,0,add1,skip,300,True,True,1.0,1.0,-1.3506,3.3177,-1.13,-0.90333,-0.18,-0.27667,270,335,0,0,419,402,0,24,0,0,after-wanren
wanren,primary,act3-4qi,tactical,0,add2,skip,300,True,True,0,0.6667,-1.9578,3.2692,-2.87333,-2.07333,-0.12,-0.32333,521,558,0,0,692,673,0,35,0,0,after-wanren
wanren,primary,act3-4qi,tactical,0,replace,shuiyanqijun,300,True,True,0,0,-1.647,1.647,-0.15667,-0.21333,0.09333,-0.03,270,335,0,0,419,402,0,24,0,0,after-wanren
wanren,primary,act3-4qi,tactical,1,add1,skip,300,True,True,1.0,1.0,-1.3506,3.3177,-1.26333,-0.13333,-0.30667,-0.36333,325,353,0,0,415,397,0,30,0,0,after-wanren
wanren,primary,act3-4qi,tactical,1,add2,skip,300,True,True,0.6667,0.6667,-1.9578,3.2692,-1.92,-2.11333,-0.34333,-0.50333,547,591,0,0,674,663,0,37,0,0,after-wanren
wanren,primary,act3-4qi,tactical,1,replace,shuiyanqijun,300,True,True,0,0,-1.647,1.647,-0.83,0.28333,0.16333,0.06333,325,353,0,0,415,397,0,30,0,0,after-wanren
hengsaoqianjun,primary,starter-single-group,greedy,0,add1,skip,300,True,True,0,0,-1.647,1.647,-1.37667,0.26333,0.07667,-0.26667,344,476,0,0,509,476,0,0,0,0,lowhp-hengsao
hengsaoqianjun,primary,starter-single-group,greedy,0,add2,skip,300,True,True,0,0,-1.647,1.647,-1.87667,-0.27,0.02333,-0.42,541,687,0,0,877,836,0,0,0,0,lowhp-hengsao
hengsaoqianjun,primary,starter-single-group,greedy,0,replace,changshanzhaozilong,300,True,True,0,0,-1.647,1.647,-2.36,-0.72,0.46333,0.12,344,476,0,0,509,476,0,0,0,0,lowhp-hengsao
hengsaoqianjun,primary,starter-single-group,greedy,1,add1,skip,300,True,True,0,0,-1.647,1.647,-0.49,2.44,-0.16667,-0.62,489,445,0,0,476,445,0,0,0,0,lowhp-hengsao
hengsaoqianjun,primary,starter-single-group,greedy,1,add2,skip,300,True,True,0,0,-1.647,1.647,-0.99,3.59333,-0.3,-0.91,711,590,0,0,764,727,0,0,0,0,lowhp-hengsao
hengsaoqianjun,primary,starter-single-group,greedy,1,replace,changshanzhaozilong,300,True,True,0,0,-1.647,1.647,-3.47,-0.54,0.56667,0.11333,489,445,0,0,476,445,0,0,0,0,lowhp-hengsao
hengsaoqianjun,primary,starter-single-group,tactical,0,add1,skip,300,True,True,0,0,-1.647,1.647,-1.43667,-0.34,-0.45333,-0.8,265,333,61,28,468,468,0,1,0,0,lowhp-hengsao
hengsaoqianjun,primary,starter-single-group,tactical,0,add2,skip,300,True,True,0,0,-1.647,1.647,-2.23,-0.38,-0.62,-1.11,423,467,107,53,771,771,0,3,0,0,lowhp-hengsao
hengsaoqianjun,primary,starter-single-group,tactical,0,replace,changshanzhaozilong,300,True,True,0,0,-1.647,1.647,-1.49333,-0.39667,0.42,0.07333,265,333,61,28,468,468,0,1,0,0,lowhp-hengsao
hengsaoqianjun,primary,starter-single-group,tactical,1,add1,skip,300,True,True,0,0,-1.647,1.647,-0.71,0.35,-0.74333,-1.04667,316,386,60,50,454,454,0,1,0,0,lowhp-hengsao
hengsaoqianjun,primary,starter-single-group,tactical,1,add2,skip,300,True,True,0,0,-1.647,1.647,-0.96,0.69,-1.03667,-1.41333,462,483,105,52,701,699,0,3,0,0,lowhp-hengsao
hengsaoqianjun,primary,starter-single-group,tactical,1,replace,changshanzhaozilong,300,True,True,0,0,-1.647,1.647,-1.51,-0.45,0.32667,0.02333,316,386,60,50,454,454,0,1,0,0,lowhp-hengsao
hengsaoqianjun,primary,act1-bosses,greedy,0,add1,skip,300,True,True,-18.0,-13.3333,-22.6258,-3.6017,-3.08,-2.30667,-0.34667,-0.4,494,676,16,2,836,726,0,2,0,0,lowhp-hengsao
hengsaoqianjun,primary,act1-bosses,greedy,0,add2,skip,300,True,True,-25.0,-21.6667,-30.291,-12.3286,-4.45667,-3.83333,-0.57667,-0.74333,795,1069,15,4,1424,1248,0,2,0,0,lowhp-hengsao
hengsaoqianjun,primary,act1-bosses,greedy,0,replace,changshanzhaozilong,300,True,True,-6.0,-4.6667,-8.8891,-0.2905,-1.15333,-0.61,0.11,0.03,494,676,16,2,836,726,0,2,0,0,lowhp-hengsao
hengsaoqianjun,primary,act1-bosses,greedy,1,add1,skip,300,True,True,-18.0,-4.0,-13.7587,5.8905,-2.78667,-1.02333,-0.42667,-0.47333,650,687,4,2,834,719,0,2,0,0,lowhp-hengsao
